34 1695203787 0,200000 1 0,200000 0,200000 0,200000
34 1695203807 0,200000 1 0,200000 0,200000 0,200000
34 1695203832 0,200000 1 0,200000 0,200000 0,200000
34 1695203852 0,100000 1 0,100000 0,100000 0,100000
34 1695203872 0,100000 1 0,100000 0,100000 0,100000
34 1695203892 0,200000 1 0,200000 0,200000 0,200000
34 1695203912 0,300000 1 0,300000 0,300000 0,300000
34 1695203937 0,300000 1 0,300000 0,300000 0,300000
34 1695203977 0,100000 1 0,100000 0,100000 0,100000
34 1695204022 0,200000 1 0,200000 0,200000 0,200000
34 1695204047 0,200000 1 0,200000 0,200000 0,200000
34 1695204067 0,200000 1 0,200000 0,200000 0,200000
