17 1695203775 39,060770 1 39,060770 39,060770 39,060770
18 1695203775 79,513140 1 79,513140 79,513140 79,513140
19 1695203775 8,263354 1 8,263354 8,263354 8,263354
17 1695203780 36,489742 1 36,489742 36,489742 36,489742
18 1695203780 79,425985 1 79,425985 79,425985 79,425985
19 1695203780 0,387913 1 0,387913 0,387913 0,387913
17 1695203785 46,714463 1 46,714463 46,714463 46,714463
18 1695203785 82,868268 1 82,868268 82,868268 82,868268
19 1695203785 30,565923 1 30,565923 30,565923 30,565923
17 1695203790 61,646480 1 61,646480 61,646480 61,646480
18 1695203790 81,710686 1 81,710686 81,710686 81,710686
19 1695203790 49,672596 1 49,672596 49,672596 49,672596
17 1695203795 58,044106 1 58,044106 58,044106 58,044106
18 1695203795 82,165246 1 82,165246 82,165246 82,165246
19 1695203795 38,552370 1 38,552370 38,552370 38,552370
17 1695203800 31,948711 1 31,948711 31,948711 31,948711
18 1695203800 81,924934 1 81,924934 81,924934 81,924934
19 1695203800 0,273022 1 0,273022 0,273022 0,273022
17 1695203805 31,884099 1 31,884099 31,884099 31,884099
18 1695203805 82,035340 1 82,035340 82,035340 82,035340
19 1695203805 0,354732 1 0,354732 0,354732 0,354732
17 1695203810 32,105159 1 32,105159 32,105159 32,105159
18 1695203810 81,583076 1 81,583076 81,583076 81,583076
19 1695203810 1,132754 1 1,132754 1,132754 1,132754
17 1695203815 41,558378 1 41,558378 41,558378 41,558378
18 1695203815 82,222293 1 82,222293 82,222293 82,222293
19 1695203815 0,645744 1 0,645744 0,645744 0,645744
17 1695203820 30,158439 1 30,158439 30,158439 30,158439
18 1695203820 82,040740 1 82,040740 82,040740 82,040740
19 1695203820 0,618707 1 0,618707 0,618707 0,618707
17 1695203825 29,057584 1 29,057584 29,057584 29,057584
18 1695203825 82,012799 1 82,012799 82,012799 82,012799
19 1695203825 0,167736 1 0,167736 0,167736 0,167736
17 1695203830 31,018098 1 31,018098 31,018098 31,018098
18 1695203830 81,517524 1 81,517524 81,517524 81,517524
19 1695203830 0,153550 1 0,153550 0,153550 0,153550
17 1695203835 41,882079 1 41,882079 41,882079 41,882079
18 1695203835 82,139569 1 82,139569 82,139569 82,139569
19 1695203835 0,865477 1 0,865477 0,865477 0,865477
17 1695203840 32,574443 1 32,574443 32,574443 32,574443
18 1695203840 82,116252 1 82,116252 82,116252 82,116252
19 1695203840 0,787797 1 0,787797 0,787797 0,787797
17 1695203845 32,810034 1 32,810034 32,810034 32,810034
18 1695203845 82,224718 1 82,224718 82,224718 82,224718
19 1695203845 0,416286 1 0,416286 0,416286 0,416286
17 1695203850 34,147325 1 34,147325 34,147325 34,147325
18 1695203850 82,227208 1 82,227208 82,227208 82,227208
19 1695203850 0,116224 1 0,116224 0,116224 0,116224
17 1695203855 37,569866 1 37,569866 37,569866 37,569866
18 1695203855 81,841531 1 81,841531 81,841531 81,841531
19 1695203855 1,205247 1 1,205247 1,205247 1,205247
17 1695203860 40,630146 1 40,630146 40,630146 40,630146
18 1695203860 82,466680 1 82,466680 82,466680 82,466680
19 1695203860 0,846707 1 0,846707 0,846707 0,846707
17 1695203865 31,870144 1 31,870144 31,870144 31,870144
18 1695203865 82,199105 1 82,199105 82,199105 82,199105
19 1695203865 0,234129 1 0,234129 0,234129 0,234129
17 1695203870 31,245758 1 31,245758 31,245758 31,245758
18 1695203870 82,298646 1 82,298646 82,298646 82,298646
19 1695203870 0,118254 1 0,118254 0,118254 0,118254
17 1695203875 37,116975 1 37,116975 37,116975 37,116975
18 1695203875 81,868405 1 81,868405 81,868405 81,868405
19 1695203875 1,242216 1 1,242216 1,242216 1,242216
17 1695203880 41,798074 1 41,798074 41,798074 41,798074
18 1695203880 82,509239 1 82,509239 82,509239 82,509239
19 1695203880 1,005041 1 1,005041 1,005041 1,005041
17 1695203885 33,739527 1 33,739527 33,739527 33,739527
18 1695203885 82,334380 1 82,334380 82,334380 82,334380
19 1695203885 0,260473 1 0,260473 0,260473 0,260473
17 1695203890 31,955910 1 31,955910 31,955910 31,955910
18 1695203890 82,364359 1 82,364359 82,364359 82,364359
19 1695203890 0,078525 1 0,078525 0,078525 0,078525
17 1695203895 38,834106 1 38,834106 38,834106 38,834106
18 1695203895 81,972149 1 81,972149 81,972149 81,972149
19 1695203895 0,397343 1 0,397343 0,397343 0,397343
17 1695203900 41,088484 1 41,088484 41,088484 41,088484
18 1695203900 82,540414 1 82,540414 82,540414 82,540414
19 1695203900 0,907781 1 0,907781 0,907781 0,907781
17 1695203905 35,311263 1 35,311263 35,311263 35,311263
18 1695203905 82,251042 1 82,251042 82,251042 82,251042
19 1695203905 0,287914 1 0,287914 0,287914 0,287914
17 1695203910 31,725126 1 31,725126 31,725126 31,725126
18 1695203910 82,313360 1 82,313360 82,313360 82,313360
19 1695203910 0,169414 1 0,169414 0,169414 0,169414
17 1695203915 40,538679 1 40,538679 40,538679 40,538679
18 1695203915 81,721197 1 81,721197 81,721197 81,721197
19 1695203915 0,956362 1 0,956362 0,956362 0,956362
17 1695203920 40,626620 1 40,626620 40,626620 40,626620
18 1695203920 82,567190 1 82,567190 82,567190 82,567190
19 1695203920 1,067798 1 1,067798 1,067798 1,067798
17 1695203925 38,601774 1 38,601774 38,601774 38,601774
18 1695203925 82,404492 1 82,404492 82,404492 82,404492
19 1695203925 0,447028 1 0,447028 0,447028 0,447028
17 1695203930 37,567288 1 37,567288 37,567288 37,567288
18 1695203930 82,382016 1 82,382016 82,382016 82,382016
19 1695203930 0,190683 1 0,190683 0,190683 0,190683
17 1695203935 36,814272 1 36,814272 36,814272 36,814272
18 1695203935 82,362580 1 82,362580 82,362580 82,362580
19 1695203935 0,090847 1 0,090847 0,090847 0,090847
17 1695203940 40,698345 1 40,698345 40,698345 40,698345
18 1695203940 82,500733 1 82,500733 82,500733 82,500733
19 1695203940 1,254973 1 1,254973 1,254973 1,254973
17 1695203947 57,418346 1 57,418346 57,418346 57,418346
18 1695203947 82,275491 1 82,275491 82,275491 82,275491
19 1695203947 0,720164 1 0,720164 0,720164 0,720164
17 1695203950 33,425736 1 33,425736 33,425736 33,425736
18 1695203950 82,322674 1 82,322674 82,322674 82,322674
19 1695203950 0,154445 1 0,154445 0,154445 0,154445
17 1695203955 41,180010 1 41,180010 41,180010 41,180010
18 1695203955 82,477190 1 82,477190 82,477190 82,477190
19 1695203955 0,157620 1 0,157620 0,157620 0,157620
17 1695203960 37,567293 1 37,567293 37,567293 37,567293
18 1695203960 82,113342 1 82,113342 82,113342 82,113342
19 1695203960 0,413280 1 0,413280 0,413280 0,413280
17 1695203965 45,548222 1 45,548222 45,548222 45,548222
18 1695203965 82,607614 1 82,607614 82,607614 82,607614
19 1695203965 1,188171 1 1,188171 1,188171 1,188171
17 1695203970 37,741996 1 37,741996 37,741996 37,741996
18 1695203970 82,392850 1 82,392850 82,392850 82,392850
19 1695203970 0,244744 1 0,244744 0,244744 0,244744
17 1695203975 37,342652 1 37,342652 37,342652 37,342652
18 1695203975 82,471887 1 82,471887 82,471887 82,471887
19 1695203975 0,152693 1 0,152693 0,152693 0,152693
17 1695203980 37,492187 1 37,492187 37,492187 37,492187
18 1695203980 81,820834 1 81,820834 81,820834 81,820834
19 1695203980 0,726465 1 0,726465 0,726465 0,726465
17 1695203985 41,336418 1 41,336418 41,336418 41,336418
18 1695203985 82,580838 1 82,580838 82,580838 82,580838
19 1695203985 0,693472 1 0,693472 0,693472 0,693472
17 1695203990 40,769702 1 40,769702 40,769702 40,769702
18 1695203990 82,504452 1 82,504452 82,504452 82,504452
19 1695203990 0,595822 1 0,595822 0,595822 0,595822
17 1695203995 36,485826 1 36,485826 36,485826 36,485826
18 1695203995 82,418818 1 82,418818 82,418818 82,418818
19 1695203995 0,207255 1 0,207255 0,207255 0,207255
17 1695204000 38,835883 1 38,835883 38,835883 38,835883
18 1695204000 82,625627 1 82,625627 82,625627 82,625627
19 1695204000 0,138147 1 0,138147 0,138147 0,138147
17 1695204005 41,864914 1 41,864914 41,864914 41,864914
18 1695204005 82,160234 1 82,160234 82,160234 82,160234
19 1695204005 0,660688 1 0,660688 0,660688 0,660688
17 1695204010 44,923090 1 44,923090 44,923090 44,923090
18 1695204010 83,118542 1 83,118542 83,118542 83,118542
19 1695204010 0,961787 1 0,961787 0,961787 0,961787
17 1695204015 41,019411 1 41,019411 41,019411 41,019411
18 1695204015 82,914125 1 82,914125 82,914125 82,914125
19 1695204015 0,171699 1 0,171699 0,171699 0,171699
17 1695204020 36,947276 1 36,947276 36,947276 36,947276
18 1695204020 82,936601 1 82,936601 82,936601 82,936601
19 1695204020 0,092363 1 0,092363 0,092363 0,092363
17 1695204025 36,100226 1 36,100226 36,100226 36,100226
18 1695204025 82,335803 1 82,335803 82,335803 82,335803
19 1695204025 0,790051 1 0,790051 0,790051 0,790051
17 1695204030 41,876171 1 41,876171 41,876171 41,876171
18 1695204030 83,088984 1 83,088984 83,088984 83,088984
19 1695204030 0,747112 1 0,747112 0,747112 0,747112
17 1695204035 39,136289 1 39,136289 39,136289 39,136289
18 1695204035 82,970978 1 82,970978 82,970978 82,970978
19 1695204035 0,391139 1 0,391139 0,391139 0,391139
17 1695204040 38,666553 1 38,666553 38,666553 38,666553
18 1695204040 82,938315 1 82,938315 82,938315 82,938315
19 1695204040 1,409739 1 1,409739 1,409739 1,409739
17 1695204045 36,570723 1 36,570723 36,570723 36,570723
18 1695204045 82,954000 1 82,954000 82,954000 82,954000
19 1695204045 0,089458 1 0,089458 0,089458 0,089458
17 1695204050 39,135834 1 39,135834 39,135834 39,135834
18 1695204050 82,536953 1 82,536953 82,536953 82,536953
19 1695204050 0,381748 1 0,381748 0,381748 0,381748
17 1695204055 42,044741 1 42,044741 42,044741 42,044741
18 1695204055 83,104183 1 83,104183 83,104183 83,104183
19 1695204055 0,746161 1 0,746161 0,746161 0,746161
17 1695204060 39,429696 1 39,429696 39,429696 39,429696
18 1695204060 83,093802 1 83,093802 83,093802 83,093802
19 1695204060 0,425698 1 0,425698 0,425698 0,425698
17 1695204065 36,556656 1 36,556656 36,556656 36,556656
18 1695204065 83,023367 1 83,023367 83,023367 83,023367
19 1695204065 0,145741 1 0,145741 0,145741 0,145741
17 1695204070 44,299025 1 44,299025 44,299025 44,299025
18 1695204070 82,642735 1 82,642735 82,642735 82,642735
19 1695204070 1,239474 1 1,239474 1,239474 1,239474
17 1695204075 40,623055 1 40,623055 40,623055 40,623055
18 1695204075 83,194992 1 83,194992 83,194992 83,194992
19 1695204075 0,605466 1 0,605466 0,605466 0,605466
17 1695204080 36,881107 1 36,881107 36,881107 36,881107
18 1695204080 82,100277 1 82,100277 82,100277 82,100277
19 1695204080 0,253907 1 0,253907 0,253907 0,253907
17 1695204085 31,016822 1 31,016822 31,016822 31,016822
18 1695204085 82,148883 1 82,148883 82,148883 82,148883
19 1695204085 0,259449 1 0,259449 0,259449 0,259449
17 1695204090 34,454649 1 34,454649 34,454649 34,454649
18 1695204090 79,712155 1 79,712155 79,712155 79,712155
19 1695204090 2,183158 1 2,183158 2,183158 2,183158
