32 1695203787 772,500000 1 772,500000 772,500000 772,500000
32 1695203807 754,400000 1 754,400000 754,400000 754,400000
32 1695203832 743,400000 1 743,400000 743,400000 743,400000
32 1695203852 735,700000 1 735,700000 735,700000 735,700000
32 1695203872 737,700000 1 737,700000 737,700000 737,700000
32 1695203892 755,900000 1 755,900000 755,900000 755,900000
32 1695203912 813,000000 1 813,000000 813,000000 813,000000
32 1695203937 802,400000 1 802,400000 802,400000 802,400000
32 1695203957 756,500000 1 756,500000 756,500000 756,500000
32 1695203977 782,300000 1 782,300000 782,300000 782,300000
32 1695204002 1013,100000 1 1013,100000 1013,100000 1013,100000
32 1695204022 754,800000 1 754,800000 754,800000 754,800000
32 1695204047 810,600000 1 810,600000 810,600000 810,600000
32 1695204067 757,200000 1 757,200000 757,200000 757,200000
