22 1695203772 0,000333 1 0,000333 0,000333 0,000333
24 1695203772 0,744701 1 0,744701 0,744701 0,744701
36 1695203792 2,137000 1 2,137000 2,137000 2,137000
39 1695203807 33,008543 1 33,008543 33,008543 33,008543
36 1695203812 2,034000 1 2,034000 2,034000 2,034000
41 1695203822 19,548210 1 19,548210 19,548210 19,548210
36 1695203832 2,062000 1 2,062000 2,062000 2,062000
36 1695203857 2,071000 1 2,071000 2,071000 2,071000
44 1695203867 40,768064 1 40,768064 40,768064 40,768064
36 1695203877 2,115000 1 2,115000 2,115000 2,115000
46 1695203877 11,037918 1 11,037918 11,037918 11,037918
24 1695203877 0,236606 1 0,236606 0,236606 0,236606
36 1695203897 2,135000 1 2,135000 2,135000 2,135000
39 1695203907 32,102899 1 32,102899 32,102899 32,102899
36 1695203917 2,095999 1 2,095999 2,095999 2,095999
41 1695203927 19,614346 1 19,614346 19,614346 19,614346
36 1695203937 2,191999 1 2,191999 2,191999 2,191999
36 1695203962 2,112999 1 2,112999 2,112999 2,112999
44 1695203967 40,539556 1 40,539556 40,539556 40,539556
36 1695203982 2,070999 1 2,070999 2,070999 2,070999
46 1695203982 11,047629 1 11,047629 11,047629 11,047629
24 1695203982 0,229092 1 0,229092 0,229092 0,229092
36 1695204007 2,157999 1 2,157999 2,157999 2,157999
39 1695204012 32,109771 1 32,109771 32,109771 32,109771
36 1695204027 2,115000 1 2,115000 2,115000 2,115000
41 1695204032 19,575063 1 19,575063 19,575063 19,575063
36 1695204052 2,086999 1 2,086999 2,086999 2,086999
36 1695204072 2,145999 1 2,145999 2,145999 2,145999
44 1695204072 40,553424 1 40,553424 40,553424 40,553424
48 1695204082 0,000010 1 0,000010 0,000010 0,000010
46 1695204082 11,039851 1 11,039851 11,039851 11,039851
