28 1695203777 362934,000000 1 362934,000000 362934,000000 362934,000000
28 1695203787 24646,600000 3 24646,600000 24646,600000 24646,600000
28 1695203787 98992,400000 20 98992,400000 98992,400000 98992,400000
28 1695203792 278952,000000 26 278952,000000 278952,000000 278952,000000
28 1695203792 173997,600000 12 173997,600000 173997,600000 173997,600000
28 1695203797 260,000000 2 260,000000 260,000000 260,000000
28 1695203802 632,200000 4 632,200000 632,200000 632,200000
28 1695203807 762,000000 3 762,000000 762,000000 762,000000
28 1695203807 122359,800000 21 122359,800000 122359,800000 122359,800000
28 1695203812 454150,000000 40 454150,000000 454150,000000 454150,000000
28 1695203817 260,000000 2 260,000000 260,000000 260,000000
28 1695203822 358,800000 3 358,800000 358,800000 358,800000
28 1695203827 178829,600000 3 178829,600000 178829,600000 178829,600000
28 1695203827 29161,600000 6 29161,600000 29161,600000 29161,600000
28 1695203832 547342,000000 55 547342,000000 547342,000000 547342,000000
28 1695203837 260,000000 2 260,000000 260,000000 260,000000
28 1695203842 359,000000 3 359,000000 359,000000 359,000000
28 1695203847 187,200000 2 187,200000 187,200000 187,200000
28 1695203852 189228,800000 40 189228,800000 189228,800000 189228,800000
28 1695203857 387995,800000 25 387995,800000 387995,800000 387995,800000
28 1695203867 7735,600000 2 7735,600000 7735,600000 7735,600000
28 1695203862 359,000000 3 359,000000 359,000000 359,000000
28 1695203872 402920,200000 49 402920,200000 402920,200000 402920,200000
28 1695203867 3,200000 1 3,200000 3,200000 3,200000
28 1695203877 174422,800000 15 174422,800000 174422,800000 174422,800000
28 1695203882 363260,000000 1 363260,000000 363260,000000 363260,000000
28 1695203887 358,600000 3 358,600000 358,600000 358,600000
28 1695203887 184,000000 1 184,000000 184,000000 184,000000
28 1695203892 123692,600000 25 123692,600000 123692,600000 123692,600000
28 1695203897 452824,800000 37 452824,800000 452824,800000 452824,800000
28 1695203902 260,000000 2 260,000000 260,000000 260,000000
28 1695203907 631,800000 4 631,800000 631,800000 631,800000
28 1695203912 124356,600000 26 124356,600000 124356,600000 124356,600000
28 1695203917 452939,800000 38 452939,800000 452939,800000 452939,800000
28 1695203922 260,000000 2 260,000000 260,000000 260,000000
28 1695203927 271,400000 2 271,400000 271,400000 271,400000
28 1695203927 87,600000 1 87,600000 87,600000 87,600000
28 1695203932 178827,800000 2 178827,800000 178827,800000 178827,800000
28 1695203932 24650,000000 4 24650,000000 24650,000000 24650,000000
28 1695203937 551886,000000 57 551886,000000 551886,000000 551886,000000
28 1695203942 3,200000 1 3,200000 3,200000 3,200000
28 1695203947 260,000000 2 260,000000 260,000000 260,000000
28 1695203952 358,600000 3 358,600000 358,600000 358,600000
28 1695203957 123755,000000 25 123755,000000 123755,000000 123755,000000
28 1695203962 452944,000000 38 452944,000000 452944,000000 452944,000000
28 1695203967 7811,200000 3 7811,200000 7811,200000 7811,200000
28 1695203972 575,600000 1 575,600000 575,600000 575,600000
28 1695203972 359,200000 3 359,200000 359,200000 359,200000
28 1695203977 83201,600000 9 83201,600000 83201,600000 83201,600000
28 1695203982 493492,400000 53 493492,400000 493492,400000 493492,400000
28 1695203987 363520,000000 3 363520,000000 363520,000000 363520,000000
28 1695203982 3,200000 1 3,200000 3,200000 3,200000
28 1695203992 358,800000 3 358,800000 358,800000 358,800000
28 1695203997 187,400000 2 187,400000 187,400000 187,400000
28 1695204002 123711,600000 24 123711,600000 123711,600000 123711,600000
28 1695204002 8143,000000 9 8143,000000 8143,000000 8143,000000
28 1695204007 444675,200000 28 444675,200000 444675,200000 444675,200000
28 1695204012 273,000000 1 273,000000 273,000000 273,000000
28 1695204007 260,200000 2 260,200000 260,200000 260,200000
28 1695204017 933,000000 4 933,000000 933,000000 933,000000
28 1695204022 87710,000000 11 87710,000000 87710,000000 87710,000000
28 1695204022 36070,200000 14 36070,200000 36070,200000 36070,200000
28 1695204027 452935,200000 37 452935,200000 452935,200000 452935,200000
28 1695204027 3,200000 1 3,200000 3,200000 3,200000
28 1695204032 260,000000 2 260,000000 260,000000 260,000000
28 1695204037 179002,000000 4 179002,000000 179002,000000 179002,000000
28 1695204042 187,200000 2 187,200000 187,200000 187,200000
28 1695204047 123715,000000 24 123715,000000 123715,000000 123715,000000
28 1695204047 452815,200000 36 452815,200000 452815,200000 452815,200000
28 1695204052 3,200000 1 3,200000 3,200000 3,200000
28 1695204052 260,200000 2 260,200000 260,200000 260,200000
28 1695204062 358,600000 3 358,600000 358,600000 358,600000
28 1695204062 184,200000 1 184,200000 184,200000 184,200000
28 1695204067 87534,400000 11 87534,400000 87534,400000 87534,400000
28 1695204067 36156,200000 14 36156,200000 36156,200000 36156,200000
28 1695204072 460362,800000 37 460362,800000 460362,800000 460362,800000
28 1695204072 3,200000 1 3,200000 3,200000 3,200000
28 1695204077 835,800000 3 835,800000 835,800000 835,800000
28 1695204082 683,000000 4 683,000000 683,000000 683,000000
28 1695204087 234,000000 2 234,000000 234,000000 234,000000
