25 1695203772 0,200000 1 0,200000 0,200000 0,200000
25 1695203777 7,600000 1 7,600000 7,600000 7,600000
25 1695203787 0,600000 3 0,600000 0,600000 0,600000
25 1695203787 3,400000 17 3,400000 3,400000 3,400000
25 1695203792 5,200000 26 5,200000 5,200000 5,200000
25 1695203787 0,600000 3 0,600000 0,600000 0,600000
25 1695203792 2,200000 11 2,200000 2,200000 2,200000
25 1695203797 0,200000 1 0,200000 0,200000 0,200000
25 1695203792 0,200000 1 0,200000 0,200000 0,200000
25 1695203797 0,200000 1 0,200000 0,200000 0,200000
25 1695203802 0,800000 4 0,800000 0,800000 0,800000
25 1695203807 1,000000 2 1,000000 1,000000 1,000000
25 1695203807 0,600000 3 0,600000 0,600000 0,600000
25 1695203807 3,600000 18 3,600000 3,600000 3,600000
25 1695203812 7,800000 39 7,800000 7,800000 7,800000
25 1695203807 0,600000 3 0,600000 0,600000 0,600000
25 1695203812 0,200000 1 0,200000 0,200000 0,200000
25 1695203817 0,200000 1 0,200000 0,200000 0,200000
25 1695203817 0,200000 1 0,200000 0,200000 0,200000
25 1695203822 0,200000 1 0,200000 0,200000 0,200000
25 1695203822 0,600000 3 0,600000 0,600000 0,600000
25 1695203827 4,000000 2 4,000000 4,000000 4,000000
25 1695203827 0,200000 1 0,200000 0,200000 0,200000
25 1695203827 1,200000 6 1,200000 1,200000 1,200000
25 1695203832 10,200000 51 10,200000 10,200000 10,200000
25 1695203827 0,600000 3 0,600000 0,600000 0,600000
25 1695203832 0,600000 3 0,600000 0,600000 0,600000
25 1695203837 0,200000 1 0,200000 0,200000 0,200000
25 1695203837 0,200000 1 0,200000 0,200000 0,200000
25 1695203842 0,600000 3 0,600000 0,600000 0,600000
25 1695203847 0,200000 1 0,200000 0,200000 0,200000
25 1695203852 9,200000 46 9,200000 9,200000 9,200000
25 1695203847 0,200000 1 0,200000 0,200000 0,200000
25 1695203852 1,000000 5 1,000000 1,000000 1,000000
25 1695203857 2,800000 14 2,800000 2,800000 2,800000
25 1695203857 0,400000 2 0,400000 0,400000 0,400000
25 1695203867 4,200000 2 4,200000 4,200000 4,200000
25 1695203862 0,600000 3 0,600000 0,600000 0,600000
25 1695203872 10,000000 46 10,000000 10,000000 10,000000
25 1695203867 0,600000 3 0,600000 0,600000 0,600000
25 1695203872 0,600000 3 0,600000 0,600000 0,600000
25 1695203877 3,000000 14 3,000000 3,000000 3,000000
25 1695203877 0,400000 2 0,400000 0,400000 0,400000
25 1695203877 0,200000 1 0,200000 0,200000 0,200000
25 1695203882 7,600000 1 7,600000 7,600000 7,600000
25 1695203887 0,600000 3 0,600000 0,600000 0,600000
25 1695203887 0,200000 1 0,200000 0,200000 0,200000
25 1695203892 4,200000 21 4,200000 4,200000 4,200000
25 1695203892 1,200000 6 1,200000 1,200000 1,200000
25 1695203897 7,200000 36 7,200000 7,200000 7,200000
25 1695203897 0,200000 1 0,200000 0,200000 0,200000
25 1695203902 0,200000 1 0,200000 0,200000 0,200000
25 1695203902 0,200000 1 0,200000 0,200000 0,200000
25 1695203907 0,800000 4 0,800000 0,800000 0,800000
25 1695203912 5,000000 22 5,000000 5,000000 5,000000
25 1695203912 1,200000 6 1,200000 1,200000 1,200000
25 1695203917 7,400000 37 7,400000 7,400000 7,400000
25 1695203917 0,200000 1 0,200000 0,200000 0,200000
25 1695203922 0,200000 1 0,200000 0,200000 0,200000
25 1695203922 0,200000 1 0,200000 0,200000 0,200000
25 1695203927 0,200000 1 0,200000 0,200000 0,200000
25 1695203927 0,400000 2 0,400000 0,400000 0,400000
25 1695203927 0,200000 1 0,200000 0,200000 0,200000
25 1695203932 4,000000 2 4,000000 4,000000 4,000000
25 1695203932 0,600000 3 0,600000 0,600000 0,600000
25 1695203937 10,800000 54 10,800000 10,800000 10,800000
25 1695203932 0,600000 3 0,600000 0,600000 0,600000
25 1695203937 0,600000 3 0,600000 0,600000 0,600000
25 1695203942 0,200000 1 0,200000 0,200000 0,200000
25 1695203947 0,200000 1 0,200000 0,200000 0,200000
25 1695203947 0,200000 1 0,200000 0,200000 0,200000
25 1695203952 0,600000 3 0,600000 0,600000 0,600000
25 1695203957 4,200000 21 4,200000 4,200000 4,200000
25 1695203957 1,200000 6 1,200000 1,200000 1,200000
25 1695203962 7,400000 37 7,400000 7,400000 7,400000
25 1695203962 0,200000 1 0,200000 0,200000 0,200000
25 1695203967 4,200000 2 4,200000 4,200000 4,200000
25 1695203967 0,200000 1 0,200000 0,200000 0,200000
25 1695203972 1,000000 1 1,000000 1,000000 1,000000
25 1695203972 0,600000 3 0,600000 0,600000 0,600000
25 1695203977 1,400000 7 1,400000 1,400000 1,400000
25 1695203977 0,800000 4 0,800000 0,800000 0,800000
25 1695203982 10,600000 52 10,600000 10,600000 10,600000
25 1695203982 0,400000 2 0,400000 0,400000 0,400000
25 1695203982 0,200000 1 0,200000 0,200000 0,200000
25 1695203987 7,800000 2 7,800000 7,800000 7,800000
25 1695203982 0,200000 1 0,200000 0,200000 0,200000
25 1695203987 0,200000 1 0,200000 0,200000 0,200000
25 1695203992 0,600000 3 0,600000 0,600000 0,600000
25 1695203997 0,200000 1 0,200000 0,200000 0,200000
25 1695203997 0,600000 3 0,600000 0,600000 0,600000
25 1695204002 4,200000 21 4,200000 4,200000 4,200000
25 1695204002 0,600000 3 0,600000 0,600000 0,600000
25 1695204002 2,200000 11 2,200000 2,200000 2,200000
25 1695204007 5,000000 25 5,000000 5,000000 5,000000
25 1695204007 0,200000 1 0,200000 0,200000 0,200000
25 1695204012 0,200000 1 0,200000 0,200000 0,200000
25 1695204007 0,200000 1 0,200000 0,200000 0,200000
25 1695204007 0,200000 1 0,200000 0,200000 0,200000
25 1695204017 1,400000 4 1,400000 1,400000 1,400000
25 1695204022 1,800000 9 1,800000 1,800000 1,800000
25 1695204022 0,800000 4 0,800000 0,800000 0,800000
25 1695204022 2,400000 12 2,400000 2,400000 2,400000
25 1695204027 7,400000 37 7,400000 7,400000 7,400000
25 1695204022 0,400000 2 0,400000 0,400000 0,400000
25 1695204032 0,200000 1 0,200000 0,200000 0,200000
25 1695204032 0,200000 1 0,200000 0,200000 0,200000
